site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno  
,14000524,4,0,"MCB-W","09/02/1994","10:45","09/02/1994","11:00","26","M227.3W","D",2,"",5,"M-",200,"",15,3900,3990,210,"",19,"",60,"",25,"",15,713145,4304994,71315.305,713145,4304994,1,.1,56,"",23.1,"",1.5,"",413,"",.17,"","","","","","","","",0,4,"0","1","0","1","0","0","0","0","N","",3,78,"",2,1,10,"GSCP",400,"",1,1,"","","","",402,49,"0","9401"
,14000527,4,2,"TWZ","09/07/1994","19:30","09/07/1994","19:45","26","M241.4K","N",2,"",5,"M-",200,"",15,4000,4116,196,"",21,"",60,"",25,"",15,700637,4319647,70065.31965,700637,4319647,1,.1,"","",22.6,"",1.5,"",430,"",.19,"","","","","","","","",0,4,"0","0","0","1","0","0","0","0","N","",5,175,"",2,1,8,"GSCP",610,"",1,1,"","","","",402,31,"0","9401"
,14000708,4,1,"MCB-U","08/25/1994","12:20","","","26","B29A.RS","S",2,"",5,"M-","","","","","","","","","","","","","",15,734170,4311785,73415.3118,734170,4311785,1,.1,30,"",29.5,"",.5,"",467,"",.03,"","","","","","","","",0,3,"0","0","0","0","0","0","0","0","Y","",3,268,"",2,2,1,"GSCP",60,"","",1,"","","","            1",300,201,"0","9401"
,14000764,4,1,"MCB-U","06/19/1995","10:20","06/21/1995","09:55","26","A22A.RS","HL",1,"",5,"M-","",47,35,"","","","","","","","","","",15,743570,4307135,74355.30715,743570,4307135,1,.1,22,"",25.7,"",1.7,"",432,"0",.1,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,2,32,"330",2,1,2,"BHCP",610,"",1,1,"","","","",301,5,"0","9501"
,14000764,4,1,"MCB-U","06/19/1995","10:20","06/21/1995","09:55","26","A22A.RS","HL",1,"",5,"M-","",47,35,"","","","","","","","","","",15,743570,4307135,74355.30715,743570,4307135,1,.1,22,"",25.7,"",1.7,"",432,"0",.1,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,2,32,"330",2,1,3,"BHCP",510,"",1,1,"","","","",301,5,"0","9501"
,14001041,4,2,"TWZ","10/25/1995","18:00","10/25/1995","18:15","26","M241.4K","N",3,"",5,"M-",200,0,15,3300,3300,220,"",15,"",60,"",25,"",15,700637,4319647,70065.31965,700637,4319647,1,.1,"","",12.6,"",1.2,"",372,"",.32,"","","","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,7,362,"330",1,1,1,"GSCP",740,"",1,1,"","","","",300,40,"0","9509"
,14001093,4,0,"SCB","08/10/1995","10:15","08/11/1995","09:50","26","M6.RS","M",2,"",5,"M-","",23,35,"","","","","","","","","","",15,712520,4304135,71250.30415,712520,4304135,1,.1,17,"",29.3,"",.3,"",302,"",.06,"","","","","","","","",0,4,"0","0","0","0","0","0","0","0","",1,2,28,"330",1,1,6,"BHCP",500,"",1,1,"","","","",301,21,"0","9601"
,14001093,4,0,"SCB","08/10/1995","10:15","08/11/1995","09:50","26","M6.RS","M",2,"",5,"M-","",23,35,"","","","","","","","","","",15,712520,4304135,71250.30415,712520,4304135,1,.1,17,"",29.3,"",.3,"",302,"",.06,"","","","","","","","",0,4,"0","0","0","0","0","0","0","0","",1,2,28,"330",1,1,7,"BHCP",520,"",1,1,"","","","",301,21,"0","9601"
,14001132,4,0,"BWC-O","06/17/1996","09:20","06/19/1996","09:05","26","H14.RS","HL",1,"",5,"M-","",47,45,"","","","","","","","","","",15,738770,4309485,73875.3095,738770,4309485,1,.1,16,"",26.1,"",.6,"",376,"",0,"","","","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,2,63,"301",1,1,1,"BHCP",760,"",1,1,"","","","",301,50,"0","9602"
,14001132,4,0,"BWC-O","06/17/1996","09:20","06/19/1996","09:05","26","H14.RS","HL",1,"",5,"M-","",47,45,"","","","","","","","","","",15,738770,4309485,73875.3095,738770,4309485,1,.1,16,"",26.1,"",.6,"",376,"",0,"","","","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,2,63,"301",1,1,15,"BHCP",660,"",1,1,"","","","",301,50,"0","9602"
,14001178,4,0,"MCB-U","06/27/1996","13:00","06/27/1996","13:14","26","D4.RS","D",1,"",5,"M-",200,0,14,4600,4550,175,"",26,"",60,"",25,"",15,728020,4314685,72800.3147,728020,4314685,1,.1,23,"",26.6,"",1.6,"",640,"",1.01,"","","","","","","","",0,4,"0","0","0","1","0","0","0","0","",0,4,118,"330",1,1,14,"BHCP",600,"",1,1,"","","","",300,41,"0","9602"
,14001220,4,0,"BWC-O","07/17/1996","09:15","07/19/1996","07:55","26","H15.RS","HL",1,"",5,"M-","",46,40,"","","","","","","","","","",15,742020,4307735,74200.30775,742020,4307735,1,.1,11,"",27,"",.6,"",476,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,2,34,"301",1,1,8,"BHCP",620,"",1,1,"","","","",301,22,"0","9604"
,14001220,4,0,"BWC-O","07/17/1996","09:15","07/19/1996","07:55","26","H15.RS","HL",1,"",5,"M-","",46,40,"","","","","","","","","","",15,742020,4307735,74200.30775,742020,4307735,1,.1,11,"",27,"",.6,"",476,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,2,34,"301",1,1,9,"BHCP",730,"",1,1,"","","","",301,22,"0","9604"
,14001223,4,0,"SCB","07/17/1996","14:45","07/17/1996","15:00","26","D14.RS","D",1,"",5,"M-",200,0,15,4300,4320,180,"",24,"",60,"",25,"",15,703420,4309535,70340.30955,703420,4309535,1,.1,34,"",29.2,"",1,"",480,"",0,"","","","","","","","",0,2,"1","1","0","0","0","0","0","0","",0,2,171,"330",1,1,1,"GSCP",650,"",1,1,"","","","",300,23,"0","9604"
,14001266,4,0,"BWC-O","08/07/1996","10:50","08/09/1996","08:50","26","H14.RS","HL",2,"",5,"M-","",46,0,"","","","","","","","","","",15,738670,4309485,73865.3095,738670,4309485,1,.2,22,"",31.8,"",.8,"",386,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,1,14,"301",1,1,2,"BHCP",690,"",1,1,"","","","",301,19,"0","9605"
,14001266,4,0,"BWC-O","08/07/1996","10:50","08/09/1996","08:50","26","H14.RS","HL",2,"",5,"M-","",46,0,"","","","","","","","","","",15,738670,4309485,73865.3095,738670,4309485,1,.2,22,"",31.8,"",.8,"",386,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,1,14,"301",1,1,3,"BHCP",770,"",1,1,"","","","",301,19,"0","9605"
,14001268,4,0,"BWC-O","08/07/1996","11:10","08/09/1996","09:15","26","H15.RS","HL",2,"",5,"M-","",46,5,"","","","","","","","","","",15,739670,4309235,73965.30925,739670,4309235,1,.2,22,"",32.1,"",1.1,"",384,"",0,"","","","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,1,14,"301",1,1,1,"BHCP",400,"",1,1,"","","","",301,21,"0","9605"
,14001268,4,0,"BWC-O","08/07/1996","11:10","08/09/1996","09:15","26","H15.RS","HL",2,"",5,"M-","",46,5,"","","","","","","","","","",15,739670,4309235,73965.30925,739670,4309235,1,.2,22,"",32.1,"",1.1,"",384,"",0,"","","","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,1,14,"301",1,1,2,"BHCP",750,"",1,1,"","","","",301,21,"0","9605"
,14001270,4,0,"MCB-U","08/07/1996","11:50","08/09/1996","09:45","26","H8.RS","HL",2,"",5,"M-","",45,55,"","","","","","","","","","",15,740070,4310185,74005.3102,740070,4310185,1,.2,51,"",28.6,"",1.8,"",474,"",.25,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,2,46,"301",1,1,1,"BHCP",840,"",1,1,"","","","",301,38,"0","9605"
,14001335,4,0,"BWC-S","08/26/1996","09:20","08/26/1996","09:35","26","D20.RS","D",2,"",5,"M-",200,0,15,4000,4011,191,"",21,"",60,"",25,"",15,743070,4306735,74305.30675,743070,4306735,1,.1,20,"",27,"",.4,"",431,"",0,"","","","","","",1,"",1,2,"0","0","0","0","0","0","0","0","",0,2,59,"330",1,1,1,"GSCP",670,"",1,1,"","","","",300,57,"0","9606"
,14001365,4,0,"IMP-S","09/18/1996","12:10","09/18/1996","12:25","26","D23.RS","D",3,"",5,"M-",200,0,15,3800,3800,190,"",20,"",60,"",25,"",15,746020,4305485,74600.3055,746020,4305485,1,.1,37,"",23.1,"",1.3,"",472,"",0,"","","","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,1,23,"300",1,1,1,"GSCP",610,"",1,1,"","","","",300,23,"0","9607"
,14001389,4,0,"BWC-S","09/27/1996","09:10","09/27/1996","09:25","26","D15.RS","D",3,"",5,"M-",200,0,15,3700,3705,195,"",19,"",60,"",25,"",15,737620,4309485,73760.3095,737620,4309485,1,.1,24,"",17.6,"",.7,"",447,"",0,"","","","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,3,117,"301",1,1,1,"GSCP",840,"",1,1,"","","","",300,23,"0","9607"
,14001439,4,0,"BWC-O","10/15/1996","08:50","10/17/1996","08:50","26","H15.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,742070,4307035,74205.30705,742070,4307035,1,.2,22,"",19.1,"",1.1,"",449,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,20,"301",1,1,2,"BHCP",750,"",1,1,"","","","",301,20,"0","9607"
,14001439,4,0,"BWC-O","10/15/1996","08:50","10/17/1996","08:50","26","H15.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,742070,4307035,74205.30705,742070,4307035,1,.2,22,"",19.1,"",1.1,"",449,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,20,"301",1,1,3,"BHCP",760,"",1,1,"","","","",301,20,"0","9607"
,14001439,4,0,"BWC-O","10/15/1996","08:50","10/17/1996","08:50","26","H15.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,742070,4307035,74205.30705,742070,4307035,1,.2,22,"",19.1,"",1.1,"",449,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,20,"301",1,1,4,"BHCP",680,"",1,1,"","","","",301,20,"0","9607"
,14001439,4,0,"BWC-O","10/15/1996","08:50","10/17/1996","08:50","26","H15.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,742070,4307035,74205.30705,742070,4307035,1,.2,22,"",19.1,"",1.1,"",449,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,20,"301",1,1,5,"BHCP",720,"",1,1,"","","","",301,20,"0","9607"
,14001439,4,0,"BWC-O","10/15/1996","08:50","10/17/1996","08:50","26","H15.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,742070,4307035,74205.30705,742070,4307035,1,.2,22,"",19.1,"",1.1,"",449,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,20,"301",1,1,1,"BHCP",860,"",1,1,"","","","",301,20,"0","9607"
,14001441,4,0,"IMP-O","10/15/1996","09:30","10/17/1996","09:30","26","H16.RS","HL",3,"",5,"M-","",48,0,"","","","","","","","","","",15,744320,4306635,74430.30665,744320,4306635,1,.2,27,"",19.1,"",1.3,"",440,"",0,"","","","","","","","",0,2,"","","","","","","","","",0,1,17,"301",1,1,1,"BHCP",570,"",1,1,"","","","",301,17,"0","9607"
,14001454,4,0,"SCB","10/16/1996","13:40","10/16/1996","13:55","26","D13.RS","D",3,"",5,"M-",200,0,15,3700,3705,195,"",19,"",60,"",25,"",15,700920,4314635,70090.31465,700920,4314635,1,.1,63,"",19.1,"",.9,"",436,"",.01,"","","","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,3,145,"301",2,1,8,"GSCP",600,"",1,1,"","","","",300,26,"0","9607"
,14001627,4,2,"TWZ","07/17/1997","20:20","07/17/1997","20:35","26","M241.4K","N",1,"",5,"M-",200,0,15,4100,4095,195,"",21,"",60,"",25,"",15,700637,4319647,70065.31965,700637,4319647,1,.1,"","",28.7,"",2.2,"",439,"",.58,"","","","","","","","",0,2,"1","1","0","1","0","0","0","0","",0,5,177,"300",3,1,2,"GSCP",690,"",1,1,"","","","",300,31,"0","9702"
,14001654,4,0,"IMP-S","08/07/1997","08:45","08/07/1997","09:00","26","D21.RS","D",2,"",5,"M-",200,0,15,3880,3895,205,"",19,"",60,"",25,"",15,743820,4306585,74380.3066,743820,4306585,1,.1,27,"",25,"",1.1,"",423,"",0,"","","","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,3,109,"300",1,1,3,"GSCP",440,"",1,1,"","","","",300,23,"0","9703"
,14001685,4,0,"IMP-O","08/19/1997","08:50","08/20/1997","09:05","26","T1.RS","TA",2,"",5,"M-","",24,15,"","","","","","","","","","",15,745820,4305985,74580.306,745820,4305985,1,.2,36,"",28,"",3.3,"",280,"",0,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,1,8,"301",1,1,1,"BHCP",910,"",1,1,"","","","",301,8,"0","9704"
,14001732,4,0,"IMP-O","09/15/1997","09:35","09/16/1997","08:50","26","T1.RS","TA",3,"",5,"M-","",23,15,"","","","","","","","","","",15,744920,4306035,74490.30605,744920,4306035,1,.2,54,"",21.6,"",2.6,"",422,"",0,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,1,4,"301",1,1,4,"BHCP",871,"","",1,8000,"","","",301,4,"0","9705"
,14001746,4,0,"BWC-O","09/15/1997","13:20","09/17/1997","10:10","26","H14.RS","HL",3,"",5,"M-","",44,50,"","","","","","","","","","",15,741820,4307635,74180.30765,741820,4307635,1,.2,25,"",25.4,"",1,"",444,"",0,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,1,15,"301",1,1,5,"BHCP",882,"","",1,8500,"","","",301,20,"0","9705"
,14001746,4,0,"BWC-O","09/15/1997","13:20","09/17/1997","10:10","26","H14.RS","HL",3,"",5,"M-","",44,50,"","","","","","","","","","",15,741820,4307635,74180.30765,741820,4307635,1,.2,25,"",25.4,"",1,"",444,"",0,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,1,15,"301",1,1,6,"BHCP",815,"","",1,5400,"","","",301,20,"0","9705"
,14001746,4,0,"BWC-O","09/15/1997","13:20","09/17/1997","10:10","26","H14.RS","HL",3,"",5,"M-","",44,50,"","","","","","","","","","",15,741820,4307635,74180.30765,741820,4307635,1,.2,25,"",25.4,"",1,"",444,"",0,"","","","","","","","",0,2,"0","0","0","0","0","0","0","0","",0,1,15,"301",1,1,7,"BHCP",902,"","",1,8200,"","","",301,20,"0","9705"
